id	x	y
2633	-37.09186091	-7.299695018
2883	-35.89513196	-8.683956485
3720	-35.30423728	-6.305495184
1744	-44.86026994	-15.57209084
2825	-37.72737855	-7.792772158
671	-40.97076379	-4.37173274
1767	-44.06012069	-14.32714988
1797	-42.95485834	-15.01544691
626	-39.69894989	-6.985663922
3721	-35.27677334	-5.661980871
3722	-37.65548267	-5.539286297
1798	-44.09297126	-14.64760823
2826	-38.72113851	-8.408839642
2838	-35.93220952	-8.586261462
627	-38.20030532	-5.517202418
628	-39.78531184	-3.239384799
629	-39.98151907	-6.756195138
630	-39.25921163	-3.991540587
1818	-43.76149304	-14.90354498
1820	-42.86377738	-15.42510458
620	-39.03716574	-7.359844363
621	-38.66299535	-4.221969232
2599	-36.29319042	-7.452075949
622	-40.08897358	-2.967568664
72	-37.40176825	-9.246356437
2702	-36.33637766	-6.492955723
250	-40.57562065	-14.38557359
2703	-35.26703128	-7.278705261
251	-41.80967393	-12.74572697
643	-38.62023549	-4.327103323
2706	-35.49430649	-6.796299926
3723	-36.39183647	-5.760077945
1840	-42.96825023	-15.2071101
1847	-42.46908628	-15.19086087
1862	-41.65939207	-15.36751199
1868	-43.27480037	-15.73493735
690	-38.46488308	-4.102027611
2770	-36.20992418	-6.726427209
1891	-43.12203048	-15.50180967
4715	-36.97881564	-10.13883985
3065	-41.62458888	-7.70944551
2708	-36.09278949	-7.061190357
1920	-44.32410942	-15.62581584
3830	-37.99271943	-6.144220817
2779	-35.73696338	-7.678880271
2709	-38.52986468	-6.42841435
2710	-38.5000021	-6.591490139
1957	-43.07964884	-15.71109744
714	-37.74863893	-4.865499424
2952	-36.13020193	-7.869125321
3755	-36.18025175	-5.697706547
1981	-42.99360451	-16.05473857
3098	-42.60669755	-5.607891871
2842	-39.74780697	-7.515688359
3099	-41.03769894	-6.917936612
2853	-39.69391895	-7.787871915
2854	-35.56212057	-8.199705069
3106	-42.60607011	-4.025835738
2962	-36.80406783	-8.620250255
2711	-37.82559191	-6.75698618
2712	-37.08865511	-7.696734945
2713	-38.00453635	-7.653378963
2714	-35.96273386	-7.148482488
2715	-35.9139515	-7.399132396
2717	-35.8628696	-6.907583683
2074	-43.89535084	-15.90850634
2736	-36.6114674	-7.233604295
2081	-41.97673558	-15.34274426
2974	-42.15459299	-5.378623358
2724	-36.83909727	-7.097604291
2682	-38.53715103	-7.206165526
2725	-35.46638051	-7.404199713
2726	-35.92262526	-7.729888675
2727	-38.05408734	-6.546191566
2975	-42.46929263	-5.014481512
3840	-37.24707814	-6.477522715
2976	-44.01912814	-8.501335634
3148	-41.22343527	-7.017628522
3154	-42.5005188	-7.198339821
2132	-42.87402664	-15.82903348
3829	-35.57394726	-6.254806554
3832	-35.92699801	-6.087521319
